RDM1;gene:ENSG00000278023:s:35922155-35922675
CCDC88A;gene:ENSG00000115355:s:55372452-55372510
SLC38A4;gene:ENSG00000139209:s:46784542-46784634
ANGPTL6;gene:ENSG00000130812:s:10094521-10095147
STAB2;gene:ENSG00000136011:t:103711293-103711516
SRPX2;gene:ENSG00000102359:s:100665243-100665369
CLNK;gene:ENSG00000109684:t:10565617-10566150
PLIN4;gene:ENSG00000167676:s:4517554-4518052
FBXL2;gene:ENSG00000153558:s:33377819-33378147
PRKAR2B;gene:ENSG00000005249:s:107156984-107157049
CHP2;gene:ENSG00000166869:s:23754627-23755116
SPEF1;gene:ENSG00000101222:t:3778884-3778990
FAM13C;gene:ENSG00000148541:s:59355835-59355943
TPTEP2-CSNK1E;gene:ENSG00000283900:s:38380937-38381302
FAM126A;gene:ENSG00000122591:s:22961235-22961322
SVEP1;gene:ENSG00000165124:s:110546115-110546291
GULP1;gene:ENSG00000144366:s:188477656-188477730
ATG2B;gene:ENSG00000066739:s:96313065-96313209
ITPR1;gene:ENSG00000150995:s:4688495-4688620
TXNL4B;gene:ENSG00000140830:s:72076663-na
MTUS2;gene:ENSG00000132938:s:29501097-29501194
CWC22;gene:ENSG00000163510:s:179993315-179993454
ANKRD20A5P;gene:ENSG00000186481:t:14242140-14242419
TPSAB1;gene:ENSG00000172236:s:1240696-1240799
CEMIP;gene:ENSG00000103888:s:80887694-80887764
BAZ2B;gene:ENSG00000123636:t:159405022-159405114
N4BP3;gene:ENSG00000145911:s:178119554-178119913
CXorf21;gene:ENSG00000120280:t:30558824-30560356
RSPH10B;gene:ENSG00000155026:s:5953075-5953583
SRRM3;gene:ENSG00000177679:s:76265364-76265468
TMC5;gene:ENSG00000103534:t:19472088-19472243
RBBP6;gene:ENSG00000122257:s:24559505-24559805
ZSWIM6;gene:ENSG00000130449:s:61531465-61531725
SYPL2;gene:ENSG00000143028:t:109475242-109475705
FNIP1;gene:ENSG00000217128:t:131716565-131716656
TENM2;gene:ENSG00000145934:t:168262049-168264157
LINC01355;gene:ENSG00000261326:s:23283995-23284484
ITGA1;gene:ENSG00000213949:t:52925278-52925487
COL7A1;gene:ENSG00000114270:s:48570275-48570441
DOCK8;gene:ENSG00000107099:t:376210-376305
PLA2G4D;gene:ENSG00000159337:t:42070717-42070883
TRMT13;gene:ENSG00000122435:s:100136882-100136928
AL080251.1;gene:ENSG00000255275:t:18911963-18912172
PDPK1;gene:ENSG00000140992:t:2565381-2565697
TRDN;gene:ENSG00000186439:t:123273337-123273363
GGT4P;gene:ENSG00000280208:s:18254386-18254512
FGD5;gene:ENSG00000154783:t:14922411-14922548
DACH1;gene:ENSG00000276644:s:71488980-71489148
AP1S2;gene:ENSG00000182287:s:15840497-15840591
NBPF8;gene:ENSG00000270231:s:120461999-120462197
PLD1;gene:ENSG00000075651:s:171644910-171645023
ODR4;gene:ENSG00000157181:s:186411811-186411893
MPDZ;gene:ENSG00000107186:t:13168366-13168564
SLC7A2;gene:ENSG00000003989:t:17550301-17550434
RASGRF2;gene:ENSG00000113319:s:81086808-81086953
CHL1-AS2;gene:ENSG00000224318:t:196456-196508
FAM160B1;gene:ENSG00000151553:s:114821744-114822123
DRICH1;gene:ENSG00000189269:t:23616853-23616874
KIF1B;gene:ENSG00000054523:s:10337074-10337203
DLEC1;gene:ENSG00000008226:t:38093605-38093767
SEMA7A;gene:ENSG00000138623:s:74418801-74418952
FER1L5;gene:ENSG00000249715:t:96697660-96697761
ABI3BP;gene:ENSG00000154175:t:100862418-100862909
ANKRD36B;gene:ENSG00000196912:s:97511138-97512052
CNTNAP1;gene:ENSG00000108797:s:42684991-42685138
DOCK4;gene:ENSG00000128512:s:111782864-111782924
AL009172.2;gene:ENSG00000283743:s:47606945-47607036
RELN;gene:ENSG00000189056:t:103489742-103490040
PALD1;gene:ENSG00000107719:t:70537811-70537906
PER3;gene:ENSG00000049246:s:7784654-7785005
CCDC146;gene:ENSG00000135205:s:77258680-77259289
FER1L5;gene:ENSG00000249715:s:96691723-96691963
FRYL;gene:ENSG00000075539:s:48549473-48549623
TRAM2-AS1;gene:ENSG00000225791:s:52579375-52579609
CDK5RAP2;gene:ENSG00000136861:s:120550792-120550902
LGR6;gene:ENSG00000133067:s:202225423-202225494
RETREG2;gene:ENSG00000144567:t:219177923-219178124
LIMD1;gene:ENSG00000144791:s:45672690-45672879
AL157714.2;gene:ENSG00000237463:s:165482349-165482607
IQCF5;gene:ENSG00000214681:s:51875528-51875584
DYDC2;gene:ENSG00000133665:s:80362435-80362590
TSPAN12;gene:ENSG00000106025:s:120838777-120838912
BMPR1B;gene:ENSG00000138696:s:95148748-95148923
CEP290;gene:ENSG00000198707:s:88086391-88086498
HERC2;gene:ENSG00000128731:s:28168407-28168590
BICC1;gene:ENSG00000122870:t:58798399-58798560
MYOM2;gene:ENSG00000036448:s:2142290-2142405
ANKS1A;gene:ENSG00000064999:t:34989224-34989316
ZNF862;gene:ENSG00000106479:t:149850161-149851143
MTCP1;gene:ENSG00000214827:s:155065486-155065537
DLG2;gene:ENSG00000150672:s:83638402-83638486
REG1CP;gene:ENSG00000204787:s:79136427-79136501
UTY;gene:ENSG00000183878:t:13323555-13323760
ITPR2;gene:ENSG00000123104:s:26665910-26666051
CDH19;gene:ENSG00000071991:t:66543958-66544224
CDH23;gene:ENSG00000107736:s:71677456-71677693
SLC1A1;gene:ENSG00000106688:s:4564344-4564458
HINT1;gene:ENSG00000169567:t:131162111-131162477
AC109460.3;gene:ENSG00000261067:s:28984205-28985517
TMOD2;gene:ENSG00000128872:s:51782721-51783136
IZUMO2;gene:ENSG00000161652:s:50159494-50159580
KIF1B;gene:ENSG00000054523:s:10295086-10295165
USP34;gene:ENSG00000115464:s:61343802-61344029
FAXDC2;gene:ENSG00000170271:t:154834625-154834728
ADGRF4;gene:ENSG00000153294:t:47721209-47722021
ADAMTSL1;gene:ENSG00000178031:s:18753298-18753508
MAK16;gene:ENSG00000198042:t:33488988-33489291
CNTNAP4;gene:ENSG00000152910:s:76355318-76355511
ATP2C2;gene:ENSG00000064270:t:84453236-84453455
SMG1;gene:ENSG00000157106:s:18852066-18852205
FAM126A;gene:ENSG00000122591:t:22976210-22976305
UHRF1BP1;gene:ENSG00000065060:s:34871584-34871692
PEX5L;gene:ENSG00000114757:s:179815536-179816004
ANKRD7;gene:ENSG00000106013:s:118234431-118234545
ADAM11;gene:ENSG00000073670:s:44777695-44777863
MRC1;gene:ENSG00000260314:t:17875090-17875253
CPAMD8;gene:ENSG00000160111:t:16925196-16925372
UBR1;gene:ENSG00000159459:s:43047161-43047289
ECM2;gene:ENSG00000106823:t:92500727-92501053
UBN2;gene:ENSG00000157741:s:139273297-139273410
SNCAIP;gene:ENSG00000064692:t:122450533-122451604
SLIT2;gene:ENSG00000145147:t:20539441-20539584
SEMA4F;gene:ENSG00000135622:s:74679276-74679334
IQSEC1;gene:ENSG00000144711:t:na-12963327
ATP13A4;gene:ENSG00000127249:s:193483936-193484005
MASP1;gene:ENSG00000127241:t:187251377-187251752
SLC1A6;gene:ENSG00000105143:t:14968303-14968507
DMRT1;gene:ENSG00000137090:s:916760-916907
THOC2;gene:ENSG00000125676:s:123696721-123696874
TTC9B;gene:ENSG00000174521:t:40216058-40216272
KCNIP3;gene:ENSG00000115041:s:95374698-95374917
ALDH3A1;gene:ENSG00000108602:s:19742545-19742942
CCDC116;gene:ENSG00000161180:s:21634010-21634570
CCDC7;gene:ENSG00000216937:t:32778977-32779084
SLC9A3;gene:ENSG00000066230:t:488245-488476
ANKRD30B;gene:ENSG00000180777:s:14802044-14802278
COL12A1;gene:ENSG00000111799:s:75130847-75130998
ANKS1A;gene:ENSG00000064999:s:35082691-35082816
CYP4F62P;gene:ENSG00000239402:s:130435662-130436383
AP005212.4;gene:ENSG00000283294:t:14248219-14248264
TTN;gene:ENSG00000155657:s:178671090-178671170
CFAP74;gene:ENSG00000142609:s:1988512-1988655
ASZ1;gene:ENSG00000154438:t:117381011-117381067
CLASP2;gene:ENSG00000163539:s:33632292-33632374
DPF1;gene:ENSG00000011332:s:38212268-38212391
THAP9;gene:ENSG00000168152:s:82910697-82910811
RNF213;gene:ENSG00000173821:s:80339201-80340356
PRICKLE3;gene:ENSG00000012211:t:49184624-49184789
DOCK11;gene:ENSG00000147251:t:118636346-118636412
ESPN;gene:ENSG00000187017:s:6440254-6440440
RAB28;gene:ENSG00000157869:s:13369871-13369974
ARHGEF15;gene:ENSG00000198844:s:8310241-8310343
ABCA2;gene:ENSG00000107331:s:137021667-137022001
DST;gene:ENSG00000151914:s:56597740-56598006
LAMA3;gene:ENSG00000053747:s:23933476-23933935
ENPEP;gene:ENSG00000138792:s:110513415-110513549
DCAF17;gene:ENSG00000115827:t:171457971-171458075
NEK1;gene:ENSG00000137601:s:169561687-169561737
FLT1;gene:ENSG00000102755:t:28345445-28345551
NDRG4;gene:ENSG00000103034:s:58505989-58506473
KIF1B;gene:ENSG00000054523:s:10324758-10324895
SLC23A3;gene:ENSG00000213901:s:219162299-219162394
IQCH;gene:ENSG00000103599:s:67416931-67417051
DUOX1;gene:ENSG00000137857:s:45163790-45163922
SLC4A4;gene:ENSG00000080493:t:71349912-71350072
NXF3;gene:ENSG00000147206:t:103084342-103084495
LINC00442;gene:ENSG00000232685:s:19011433-19011564
SAP130;gene:ENSG00000136715:t:128014803-128014914
MUC19;gene:ENSG00000205592:t:40557464-40557517
TTLL6;gene:ENSG00000170703:t:48799604-48799760
GATA5;gene:ENSG00000130700:s:62466426-62466551
SLC36A1;gene:ENSG00000123643:s:151467199-151467283
CCDC154;gene:ENSG00000197599:s:1438050-1438176
CHL1;gene:ENSG00000134121:s:363217-363502
PLA2G4E;gene:ENSG00000188089:t:41990121-41990235
SLC27A5;gene:ENSG00000083807:t:58500339-58500429
NOSTRIN;gene:ENSG00000163072:s:168855686-168856210
UPF3B;gene:ENSG00000125351:t:119815097-119815307
SMG1P5;gene:ENSG00000183604:t:30291203-30291375
COL7A1;gene:ENSG00000114270:s:48574988-48575126
GFRA1;gene:ENSG00000151892:t:116269503-116269586
GLCCI1;gene:ENSG00000106415:s:7968794-7969807
KIAA1211;gene:ENSG00000109265:s:56323377-56323567
SLC12A2;gene:ENSG00000064651:t:128114212-128114287
PHOSPHO2;gene:ENSG00000144362:s:169697865-169697982
COL9A3;gene:ENSG00000092758:s:62825817-62825870
IQCE;gene:ENSG00000106012:s:2601441-2601949
SMOC1;gene:ENSG00000198732:s:69952137-69952303
HCFC2;gene:ENSG00000111727:s:104066167-104066315
COLEC10;gene:ENSG00000184374:t:119103800-119103895
TTLL6;gene:ENSG00000170703:s:48789931-48790106
CORIN;gene:ENSG00000145244:t:47593998-47595903
GSTCD;gene:ENSG00000138780:t:105837859-105837889
TENT4A;gene:ENSG00000112941:s:6739732-6739852
ADAMTS2;gene:ENSG00000087116:s:179135908-179136042
INTS2;gene:ENSG00000108506:s:61867804-61868009
DLEC1;gene:ENSG00000008226:t:38063841-38063919
LUZP1;gene:ENSG00000169641:s:23109022-23109127
SLC37A2;gene:ENSG00000134955:s:125085954-125086018
LRRIQ1;gene:ENSG00000133640:t:85153663-85153758
ABTB2;gene:ENSG00000166016:s:34170906-34171071
GTF2IRD2B;gene:ENSG00000174428:s:75125657-75125970
RAB11FIP3;gene:ENSG00000090565:s:494874-494888
SETD6;gene:ENSG00000103037:s:58515953-58516097
ANKRD13B;gene:ENSG00000198720:s:29612652-29612815
NR1I2;gene:ENSG00000144852:s:119812686-119812960
TTC34;gene:ENSG00000215912:t:na-2777459
NRK;gene:ENSG00000123572:s:105915730-105915797
ADAMTSL2;gene:ENSG00000197859:t:133561198-133561295
ITGA9;gene:ENSG00000144668:s:37653714-37653790
SLC4A7;gene:ENSG00000033867:s:27404830-27404963
PPFIA2;gene:ENSG00000139220:t:81261949-81262040
KIF13A;gene:ENSG00000137177:s:17789872-17789910
COL4A3;gene:ENSG00000169031:t:227303859-227303969
BBS7;gene:ENSG00000138686:t:121839631-121839696
ZNF408;gene:ENSG00000175213:s:46702984-46703243
SLC17A4;gene:ENSG00000146039:s:25777926-25778016
POLA1;gene:ENSG00000101868:s:24727790-24727936
RBL1;gene:ENSG00000080839:s:37032665-37032876
PKD1P5;gene:ENSG00000254681:t:18379475-18379727
CR1;gene:ENSG00000203710:s:207607251-207607336
SYNE3;gene:ENSG00000176438:s:95443661-95444628
SBF2;gene:ENSG00000133812:s:9992990-9993104
AFG1L;gene:ENSG00000135537:t:108522297-108523117
WDR63;gene:ENSG00000162643:t:85129990-85130181
ADCY9;gene:ENSG00000162104:s:4115657-4116185
SRGAP2;gene:ENSG00000266028:t:206453661-206454700
DMD;gene:ENSG00000198947:t:32411752-32411913
MYCBP2;gene:ENSG00000005810:s:77185871-77186068
MAP7D2;gene:ENSG00000184368:s:20116750-20116917
BTRC;gene:ENSG00000166167:s:101461964-101462058
CLC;gene:ENSG00000105205:s:39734283-39734493
LRP2;gene:ENSG00000081479:t:169132574-169132681
C11orf95;gene:ENSG00000188070:t:63764038-63764598
ARID3A;gene:ENSG00000116017:t:964248-964431
UBR4;gene:ENSG00000127481:s:19176592-19176744
FKBP1B;gene:ENSG00000119782:s:24060814-24060926
GOLGA6B;gene:ENSG00000215186:s:72665782-72665885
CPA1;gene:ENSG00000091704:s:130380628-130380921
KIF17;gene:ENSG00000117245:s:20684809-20685187
CA5B;gene:ENSG00000169239:s:15775217-15775631
KLC3;gene:ENSG00000104892:s:45349429-45349602
TTC7A;gene:ENSG00000068724:t:47023408-47023465
CARD14;gene:ENSG00000141527:s:80195191-80195333
AC241952.1;gene:ENSG00000275131:t:120492099-120492222
DENND6B;gene:ENSG00000205593:t:50315925-50316087
CLIP1;gene:ENSG00000130779:t:122347375-122347479
RIPOR2;gene:ENSG00000111913:s:24825226-24825428
NAA25;gene:ENSG00000111300:t:112078188-112078266
SULT4A1;gene:ENSG00000130540:t:43839945-43840025
COL4A3;gene:ENSG00000169031:s:227293172-227293317
KIF2A;gene:ENSG00000068796:s:62353257-62353375
CNTNAP4;gene:ENSG00000152910:s:76461956-76462105
SYCP1;gene:ENSG00000198765:t:114862912-114863110
HERC5;gene:ENSG00000138646:s:88463532-88463623
RIPOR2;gene:ENSG00000111913:s:24830509-24830670
TEC;gene:ENSG00000135605:s:48269752-48269864
EPS8L3;gene:ENSG00000198758:s:109751995-109752428
LAMC3;gene:ENSG00000050555:s:131075813-131075965
CFAP57;gene:ENSG00000243710:s:43224046-43224204
C6orf118;gene:ENSG00000112539:s:165297977-165298101
SOHLH1;gene:ENSG00000165643:s:135698995-135699126
CD244;gene:ENSG00000122223:t:160834051-160834116
ASB11;gene:ENSG00000165192:t:15289504-15289638
NR6A1;gene:ENSG00000148200:s:124543626-124543857
MBTD1;gene:ENSG00000011258:t:51193428-51193510
FAM81B;gene:ENSG00000153347:t:95420284-95420402
LRBA;gene:ENSG00000198589:s:150871345-150871453
AGFG1;gene:ENSG00000173744:t:227550059-227550106
ALPK1;gene:ENSG00000073331:s:112423726-112424191
MON2;gene:ENSG00000061987:s:62500514-62500880
URB1;gene:ENSG00000142207:s:32349304-32349674
AFAP1L2;gene:ENSG00000169129:s:114340603-114340731
KALRN;gene:ENSG00000160145:t:124438888-124439037
RGPD3;gene:ENSG00000153165:s:106452696-106452926
PTPRD;gene:ENSG00000153707:s:8404537-8404660
PXDNL;gene:ENSG00000147485:t:51411250-51411407
TEX9;gene:ENSG00000151575:t:56388472-56388520
PEX5;gene:ENSG00000139197:s:7208457-7208673
PFKFB4;gene:ENSG00000114268:s:48538498-48538933
DSE;gene:ENSG00000111817:s:116366985-116367217
DAPP1;gene:ENSG00000070190:t:99835623-99835745
PNLDC1;gene:ENSG00000146453:s:159810023-159810095
COL7A1;gene:ENSG00000114270:t:48576400-48576435
DOCK9;gene:ENSG00000088387:t:98915267-98915503
CNTN4;gene:ENSG00000144619:s:2735873-2736341
ATP2C2;gene:ENSG00000064270:s:84461695-84461812
SZT2;gene:ENSG00000198198:s:43424755-43424862
ABTB2;gene:ENSG00000166016:t:34154701-34154769
CCM2;gene:ENSG00000136280:s:45071697-45071872
CELF6;gene:ENSG00000140488:s:72290127-72290255
CLEC12A;gene:ENSG00000172322:s:9979317-9979524
ZMYND15;gene:ENSG00000141497:s:4740519-4741140
PPP1R36;gene:ENSG00000165807:t:64565626-64565692
WNK2;gene:ENSG00000165238:s:93234776-93234965
NLRC5;gene:ENSG00000140853:t:57077719-57077802
CNBD2;gene:ENSG00000149646:s:36008297-36008474
PRR22;gene:ENSG00000212123:s:5784531-5784765
MIA2;gene:ENSG00000150527:t:39308449-39308587
LRP2;gene:ENSG00000081479:s:169247378-169247515
TNS1;gene:ENSG00000079308:t:217841199-217841285
TESK2;gene:ENSG00000070759:s:45355303-45355449
STPG1;gene:ENSG00000001460:t:24369674-24369839
DLEC1;gene:ENSG00000008226:s:38120448-38120609
ABCA9;gene:ENSG00000154258:s:68982562-68982643
PFN4;gene:ENSG00000176732:s:24122752-24122833
HAGLR;gene:ENSG00000224189:s:176177711-176177856
WDR78;gene:ENSG00000152763:t:66833585-66833706
C1orf167;gene:ENSG00000215910:s:11775435-11775610
APOA5;gene:ENSG00000110243:s:116791812-116791895
TJP3;gene:ENSG00000105289:s:3731935-3732058
ANO5;gene:ENSG00000171714:s:22257680-22257754
ENTPD3;gene:ENSG00000168032:s:40422844-40423122
RADX;gene:ENSG00000147231:t:106678108-106679442
RASGRF2;gene:ENSG00000113319:t:81225678-81230156
ITIH2;gene:ENSG00000151655:s:7723451-7723567
CC2D2A;gene:ENSG00000048342:t:15510139-15510240
MRC2;gene:ENSG00000011028:s:62677269-62677486
PRSS53;gene:ENSG00000151006:s:31086633-31086924
ZIM2;gene:ENSG00000269699:s:56823462-56823679
RAPGEF4;gene:ENSG00000091428:t:172814279-172814740
SDHAP1;gene:ENSG00000185485:s:195982162-195982352
MSS51;gene:ENSG00000166343:s:73427613-73427768
CTSW;gene:ENSG00000172543:t:65882609-65882719
SOS2;gene:ENSG00000100485:s:50204284-50204409
SLC10A7;gene:ENSG00000120519:s:146509913-146510049
TMC5;gene:ENSG00000103534:t:19479431-19479528
CFAP43;gene:ENSG00000197748:s:104185974-104186123
GRIA2;gene:ENSG00000120251:t:157321438-157321599
HERC3;gene:ENSG00000138641:t:88605794-88606049
PLCH2;gene:ENSG00000149527:s:2478389-2478622
GCK;gene:ENSG00000106633:s:44152271-44152425
COLGALT2;gene:ENSG00000198756:t:183944196-183944323
PER2;gene:ENSG00000132326:s:238258497-238258644
DNAJC6;gene:ENSG00000116675:t:65392431-65392865
AR;gene:ENSG00000169083:t:67711402-67711689
AP3B2;gene:ENSG00000103723:s:82662469-82662696
CFAP46;gene:ENSG00000171811:t:132834654-132834775
PTPN21;gene:ENSG00000070778:s:88505303-88505371
NAA25;gene:ENSG00000111300:s:112040481-112040585
LNX2;gene:ENSG00000139517:t:27559842-27559985
UNC13D;gene:ENSG00000092929:s:75834920-75835272
ZNF34;gene:ENSG00000196378:t:144778038-144778164
SHANK3;gene:ENSG00000251322:s:50678585-50678693
MYH7B;gene:ENSG00000078814:s:34980578-34980795
EGF;gene:ENSG00000138798:s:109994733-109994880
ST14;gene:ENSG00000149418:t:130189325-130189896
SVEP1;gene:ENSG00000165124:s:110429920-110430004
AGAP14P;gene:ENSG00000279058:s:46337224-46337446
RBM33;gene:ENSG00000184863:t:155718385-155718443
FBXL13;gene:ENSG00000161040:s:102883566-102883740
C8B;gene:ENSG00000021852:s:56954686-56954827
SLC26A8;gene:ENSG00000112053:t:35959714-35959806
ITGB7;gene:ENSG00000139626:s:53197493-53197709
HORMAD2;gene:ENSG00000176635:t:30121632-30121789
DRC7;gene:ENSG00000159625:s:57707460-57707861
DOCK10;gene:ENSG00000135905:s:224852935-224853122
GOLGA2P5;gene:ENSG00000238105:s:100158958-100159203
MTMR12;gene:ENSG00000150712:s:32255693-32256007
LPA;gene:ENSG00000198670:t:160537855-160537961
ITGA8;gene:ENSG00000077943:t:15677592-15677637
ATG4C;gene:ENSG00000125703:t:62816575-62816808
SPTBN5;gene:ENSG00000137877:t:41857573-41857710
LRRC37A2;gene:ENSG00000238083:t:46517362-46517832
PLA2G4A;gene:ENSG00000116711:s:186893011-186893159
ATCAY;gene:ENSG00000167654:s:3909342-3909617
FGD1;gene:ENSG00000102302:t:54465696-54465852
CCDC105;gene:ENSG00000160994:s:15020461-15020659
SYNJ1;gene:ENSG00000159082:t:32650184-32650346
MYO1A;gene:ENSG00000166866:s:57037869-57038069
IFT172;gene:ENSG00000138002:s:27485360-27485503
ULK4;gene:ENSG00000168038:t:41907845-41907941
COL4A5;gene:ENSG00000188153:s:108568759-108569035
KLHL28;gene:ENSG00000179454:t:44924319-44929191
PATL2;gene:ENSG00000229474:t:44669280-44669413
EXD1;gene:ENSG00000178997:s:41217097-41217154
ADNP-AS1;gene:ENSG00000259456:s:50930984-50931054
ZFR2;gene:ENSG00000105278:t:3808872-3808983
LRRC36;gene:ENSG00000159708:t:67347350-67347591
ZNF783;gene:ENSG00000204946:s:149266819-149266945
RIPOR2;gene:ENSG00000111913:s:24835703-24836050
NAV3;gene:ENSG00000067798:t:78179420-78179682
LRBA;gene:ENSG00000198589:s:150851885-150852943
SECISBP2L;gene:ENSG00000138593:s:49019418-49019647
PTPRZ1;gene:ENSG00000106278:t:122058800-122058942
DHRS7C;gene:ENSG00000184544:s:9791131-9791297
NACAD;gene:ENSG00000136274:s:45081601-45081672
TFCP2L1;gene:ENSG00000115112:s:121235221-121235311
ANTXRL;gene:ENSG00000274209:t:46297404-46297488
MTTP;gene:ENSG00000138823:t:99611332-99611453
SYCP1;gene:ENSG00000198765:t:114994698-114994787
PHETA2;gene:ENSG00000177096:s:42074251-42074341
TTC28;gene:ENSG00000100154:s:27993124-27993535
PDE7B;gene:ENSG00000171408:t:136191614-136195574
CYB5R4;gene:ENSG00000065615:s:83940515-83940701
CDNF;gene:ENSG00000185267:s:14834217-14834337
MPDZ;gene:ENSG00000107186:s:13147548-13147694
TAF4B;gene:ENSG00000141384:s:26274931-26275053
CTNNA2;gene:ENSG00000066032:s:80419449-80419601
ACACB;gene:ENSG00000076555:t:109258268-109258364
COL7A1;gene:ENSG00000114270:s:48590673-48590816
ATM;gene:ENSG00000149311:t:108301648-108301798
ADGRA3;gene:ENSG00000152990:s:22436440-22436641
VWCE;gene:ENSG00000167992:s:61274474-61274584
CFAP57;gene:ENSG00000243710:s:43226983-43227126
FOLR3;gene:ENSG00000110203:s:72139250-72139482
SCN7A;gene:ENSG00000136546:t:166465781-166465987
KANK1;gene:ENSG00000107104:s:na-684574
VWA8;gene:ENSG00000102763:t:41701392-41701530
MELTF;gene:ENSG00000163975:s:197022957-197023113
MASP1;gene:ENSG00000127241:s:187260741-187260872
MYOM2;gene:ENSG00000036448:s:2093918-2094091
GARNL3;gene:ENSG00000136895:t:127345403-127345477
SLC15A1;gene:ENSG00000088386:t:98704289-98704435
PAN3;gene:ENSG00000152520:t:28176493-28176559
SPTBN2;gene:ENSG00000173898:t:66708141-66708299
SHROOM4;gene:ENSG00000158352:t:50627614-50627675
MAT1A;gene:ENSG00000151224:s:80274520-80274653
DDX3Y;gene:ENSG00000067048:t:12911839-12911968
MYO5A;gene:ENSG00000197535:t:52407292-52407399
WDR19;gene:ENSG00000157796:s:39244470-39244552
CAPN3;gene:ENSG00000092529:s:42392587-42392722
TTC23;gene:ENSG00000103852:s:99218898-99219048
SLIT2;gene:ENSG00000145147:t:20531984-20532058
COL27A1;gene:ENSG00000196739:t:114240220-114240273
EXOC6B;gene:ENSG00000144036:t:72732983-72733118
TBC1D3P2;gene:ENSG00000188755:s:62267133-62267231
NCAM1;gene:ENSG00000149294:s:113271760-113271876
NUP210L;gene:ENSG00000143552:t:154027506-154027597
ELOVL4;gene:ENSG00000118402:t:79919419-79919547
SLAMF1;gene:ENSG00000117090:t:160610765-160610798
IDE;gene:ENSG00000119912:s:92534578-92534785
MAP4K1;gene:ENSG00000104814:t:38607990-38608033
ZMYM4;gene:ENSG00000146463:s:35385442-35385592
IGF2;gene:ENSG00000284779:s:2158267-2158658
SHOC1;gene:ENSG00000165181:s:111756325-111756478
DNAH7;gene:ENSG00000118997:t:195799296-195799472
CPNE8;gene:ENSG00000139117:s:38670729-38670995
UCP3;gene:ENSG00000175564:s:74005730-74005933
C16orf97;gene:ENSG00000261190:t:52058368-52058428
SLC22A1;gene:ENSG00000175003:t:160133957-160134125
KIF2A;gene:ENSG00000068796:s:62355159-62355262
CCDC102B;gene:ENSG00000150636:t:68846313-68846421
ARHGAP32;gene:ENSG00000134909:s:128988023-128988125
ITPR1;gene:ENSG00000150995:t:4639384-4639470
SFI1;gene:ENSG00000198089:s:31583886-31583972
COLGALT2;gene:ENSG00000198756:s:183954762-183954838
TIE1;gene:ENSG00000066056:s:43300993-43301129
