DGKZ;gene:ENSG00000149091:s:46374766-46374839
PPP3CC;gene:ENSG00000120910:s:22532225-22532306
TFB1M;gene:ENSG00000029639:s:155260273-155260650
ABCF1;gene:ENSG00000204574:s:30578470-30578577
HDAC7;gene:ENSG00000061273:s:47787712-47787879
IFIH1;gene:ENSG00000115267:s:162279996-162280112
AP000944.2;gene:ENSG00000285816:s:65294151-65294264
HMGCL;gene:ENSG00000117305:s:23813832-23814338
EIF2B5;gene:ENSG00000145191:t:184142779-184142886
ARHGAP1;gene:ENSG00000175220:s:46686747-46688260
GGH;gene:ENSG00000137563:t:63015079-63015453
GRIPAP1;gene:ENSG00000068400:s:48985268-48985402
CUL5;gene:ENSG00000166266:s:108095530-108095691
STAT1;gene:ENSG00000115415:s:190984310-190984393
HYOU1;gene:ENSG00000149428:s:119051438-119051625
SARNP;gene:ENSG00000205323:s:55790567-55790592
ALKBH3;gene:ENSG00000166199:t:43919918-43920266
FBXO42;gene:ENSG00000037637:s:16253096-16253427
PRPF6;gene:ENSG00000101161:s:64031572-64032044
WDR92;gene:ENSG00000243667:s:68138742-68138857
MBD4;gene:ENSG00000129071:s:129434062-129434136
GSAP;gene:ENSG00000186088:s:77313488-77313549
EIF4G3;gene:ENSG00000075151:t:20827617-20827698
DHX37;gene:ENSG00000150990:t:124950653-124950804
SPOUT1;gene:ENSG00000198917:s:128826298-128826446
PRKDC;gene:ENSG00000253729:s:47779004-47779361
WDR24;gene:ENSG00000127580:s:685257-685597
ATRN;gene:ENSG00000088812:s:3596377-3596429
NCAPG2;gene:ENSG00000146918:s:158675477-158675656
USP32;gene:ENSG00000170832:s:60181324-60181748
NAGPA;gene:ENSG00000103174:s:5027980-5028185
PELP1;gene:ENSG00000141456:s:4671691-4671904
PRPS1;gene:ENSG00000147224:t:107647606-107647765
SLC38A10;gene:ENSG00000157637:s:81284850-81285714
PSMB10;gene:ENSG00000205220:s:67936191-67936312
PRPF38A;gene:ENSG00000134748:s:52411115-52411200
CRIP2;gene:ENSG00000182809:s:105478592-105478871
E4F1;gene:ENSG00000167967:s:2232456-2232576
SMARCA1;gene:ENSG00000102038:t:129496750-129496871
SCARB2;gene:ENSG00000138760:s:76176437-76177133
SEPTIN9;gene:ENSG00000184640:s:77487424-77487552
VPS25;gene:ENSG00000131475:s:42773436-42773533
RAD23B;gene:ENSG00000119318:s:107300139-107300222
HDAC3;gene:ENSG00000171720:s:141629173-141629258
NOC4L;gene:ENSG00000184967:s:132151738-132151820
CDK5RAP2;gene:ENSG00000136861:s:120415040-120415159
SNRNP25;gene:ENSG00000161981:t:57086-57669
