	query acc	query length	subject acc	subject length	bit score	score	alignment length	% identity	subject tax id
59	AF111167.1	704	AF111167	202267	418.0	226	226	100.0	9606
60	AF111167.1	704	AC193774	192839	230.0	124	227	85.022	9598
61	CKMT2-AS1	2463	NR_034121	2740	4549.0	2463	2463	100.0	9606
62	CKMT2-AS1	2463	AC216066	183783	453.0	245	331	91.541	9598
63	AC011284.1	856	NG_051298	974553	1393.0	754	857	96.033	9606
64	AC011284.1	856	AC189126	190488	1242.0	672	866	92.725	9598
65	C1QTNF1-AS1	865	NR_040019	923	1598.0	865	865	100.0	9606
66	C1QTNF1-AS1	865	XR_675535	1073	1552.0	840	858	99.301	9598
67	AL392083.1	2985	AL392083	164741	5513.0	2985	2985	100.0	9606
68	AL392083.1	2985	AC146447	200529	134.0	72	106	89.623	9598
69	AC026471.5	467	CP068262	96330493	863.0	467	467	100.0	9606
70	AC026471.5	467	XM_001158801	435	305.0	165	171	98.83	9598
71	AC025423.4	785	NM_001145340	11792	749.0	405	405	100.0	9606
72	AC025423.4	785	XM_001155208	7107	719.0	389	405	98.765	9598
73	AL133553.1	353	NG_011841	463403	486.0	263	275	98.545	9606
74	AL133553.1	353	AC195636	200939	363.0	196	285	89.825	9598
75	AC012174.1	714	CP068262	96330493	843.0	456	456	100.0	9606
76	AC012174.1	714	AC159218	178970	381.0	206	302	89.735	9598
77	AL031056.2	1217	NG_021386	200688	1812.0	981	981	100.0	9606
78	AL031056.2	1217	AC194541	176367	200.0	108	111	99.099	9598
79	AC007620.2	1697	NM_021629	6315	1783.0	965	968	99.897	9606
80	AC007620.2	1697	XM_001168001	6450	1714.0	928	969	98.658	9598
81	AC073987.1	638	AC073987	152351	593.0	321	321	100.0	9606
82	AC073987.1	638	AC198463	144711	213.0	115	161	90.683	9598
83	JADRR	1721	KC469579	1721	3179.0	1721	1721	100.0	9606
84	JADRR	1721	AC191738	224140	529.0	286	466	87.339	9598
85	LCA10	1392	NR_130768	1392	2571.0	1392	1392	100.0	9606
86	LCA10	1392	XM_016944563	4463	2431.0	1316	1390	98.345	9598
87	PTPRG-AS1	2661	NR_038282	2676	4900.0	2653	2664	99.887	9606
88	PTPRG-AS1	2661	XR_001713400	1603	2065.0	1118	1151	99.044	9598
89	LINC00824	2055	NR_121672	3031	3795.0	2055	2055	100.0	9606
90	LINC00824	2055	LR812597	30666836	60.2	32	32	100.0	7955
91	LINC00824	2055	JN954224	38769	60.2	32	32	100.0	10090
92	LINC00824	2055	AC161006	201209	54.7	29	29	100.0	9598
93	AC090227.2	340	XR_001753447	3627	577.0	312	315	99.683	9606
94	AC090227.2	340	AC183379	217240	100.0	54	92	86.957	9598
95	AP005901.2	525	CP068260	80542536	712.0	385	385	100.0	9606
96	AP005901.2	525	BS000222	189474	645.0	349	385	96.883	9598
97	AC010325.2	260	NG_052652	11810	285.0	154	164	98.171	9606
98	AC010325.2	260	AC270565	200511	134.0	72	97	91.753	9598
99	AC067817.2	387	AC067817	172678	521.0	282	282	100.0	9606
100	AC067817.2	387	AC275770	166135	267.0	144	153	98.039	9598
101	FLJ31104	2289	NR_102755	2300	4228.0	2289	2289	100.0	9606
102	FLJ31104	2289	AC195291	222274	425.0	230	303	92.079	9598
103	AC091180.3	963	NM_002634	1834	1013.0	548	548	100.0	9606
104	AC091180.3	963	XM_009431630	1940	966.0	523	547	98.537	9598
105	AC091180.3	963	XM_005220569	1946	403.0	218	415	84.819	9913
106	AC091180.3	963	JN947395	38648	350.0	189	366	85.246	10090
107	AL513303.1	705	XR_930583	3100	1066.0	577	577	100.0	9606
108	AL513303.1	705	XR_001721188	805	267.0	144	150	98.667	9598
109	LINC00940	2350	NR_036546	2352	4340.0	2350	2350	100.0	9606
110	AL157832.2	1649	NG_052673	310800	3046.0	1649	1649	100.0	9606
111	AC104561.3	715	XR_949586	2360	1038.0	562	562	100.0	9606
112	AC136777.1	369	AC136777	175263	289.0	156	156	100.0	9606
113	AC136777.1	369	XM_024356421	9483	261.0	141	156	96.795	9598
114	AC104073.4	598	XR_001744939	1077	813.0	440	440	100.0	9606
115	AC104073.4	598	XR_001714817	1256	785.0	425	440	98.864	9598
116	AC005954.2	556	AP023479	59105444	621.0	336	440	92.5	9606
117	AC005954.2	556	AC191871	168863	407.0	220	314	90.127	9598
118	MIR5689HG	656	NR_132993	656	1212.0	656	656	100.0	9606
119	MIR5689HG	656	XR_001718244	656	1157.0	626	656	98.476	9598
120	MIR3681HG	2183	NR_110196	2195	4032.0	2183	2183	100.0	9606
121	MIR3681HG	2183	XR_001715261	623	357.0	193	199	98.995	9598
122	LINC01360	3871	NR_110676	3871	7149.0	3871	3871	100.0	9606
123	LINC01360	3871	AC192803	162842	252.0	136	245	85.306	9598
124	AC117834.1	602	AC027242	101400	623.0	337	337	100.0	9606
125	AL589765.4	382	AL589765	163389	294.0	159	159	100.0	9606
126	AL589765.4	382	AC191721	215433	220.0	119	159	91.824	9598
127	AC024022.1	598	AC024022	186755	780.0	422	422	100.0	9606
128	AC024022.1	598	XR_001716862	410	110.0	59	59	100.0	9598
129	AL132780.2	1021	XR_001750645	1166	1886.0	1021	1021	100.0	9606
130	AL132780.2	1021	XR_001709029	1235	1136.0	615	637	98.901	9598
131	AL132780.2	1021	XM_024997353	3919	156.0	84	103	94.175	9913
132	AP002505.1	228	CP068260	80542536	339.0	183	183	100.0	9606
133	AP002505.1	228	AC146422	189507	226.0	122	177	89.831	9598
134	AC109446.3	641	NR_135179	637	1177.0	637	637	100.0	9606
135	AC109446.3	641	XR_001710243	572	778.0	421	503	95.229	9598
136	AC109446.3	641	XM_002698037	9142	298.0	161	186	95.699	9913
137	AC109446.3	641	AC122836	222390	292.0	158	191	94.241	10090
138	AC109446.3	641	LR812546	53425638	215.0	116	186	87.634	7955
139	AC008443.1	566	AK093624	2343	1024.0	554	566	99.293	9606
140	AC008443.1	566	XR_001718094	2566	311.0	168	168	100.0	9598
141	AC008443.1	566	NM_001206165	2870	255.0	138	168	94.048	9913
142	LINC01672	1686	BC039095	1723	3055.0	1654	1690	99.349	9606
143	LINC01672	1686	AC160247	168031	366.0	198	298	88.926	9598
144	LINC00494	3544	NR_026958	3610	6545.0	3544	3544	100.0	9606
145	LINC00494	3544	XR_001712274	1188	854.0	462	484	98.554	9598
146	LINC00494	3544	AC103584	177017	56.5	30	48	87.5	9913
147	AC026356.1	1357	AC026356	37490	2507.0	1357	1357	100.0	9606
148	AC026356.1	1357	XM_009425625	4543	2429.0	1315	1356	99.041	9598
149	AC022182.2	859	AC022182	172420	1214.0	657	657	100.0	9606
150	AC022182.2	859	XM_001154761	547	926.0	501	541	97.597	9598
151	AC124276.1	899	AC124276	195122	1524.0	825	832	99.76	9606
152	AC124276.1	899	AC212914	208779	359.0	194	278	90.288	9598
153	AP001627.1	1754	XR_244323	2429	3240.0	1754	1754	100.0	9606
154	AP001627.1	1754	BS000229	179285	1906.0	1032	1095	98.174	9598
155	AC099508.2	510	XR_001710437	989	673.0	364	391	97.954	9598
156	AC099508.2	510	XM_011522921	3430	486.0	263	263	100.0	9606
157	AC097375.3	2652	BC035179	2669	4881.0	2643	2653	99.887	9606
158	AC097375.3	2652	XR_001717231	989	1716.0	929	973	98.561	9598
159	HCG20	1202	NR_138037	1219	2220.0	1202	1202	100.0	9606
160	HCG20	1202	XR_680722	1431	1860.0	1007	1077	97.864	9598
161	AC010336.1	4739	NG_050684	20519	8752.0	4739	4739	100.0	9606
162	AC010336.1	4739	AC193186	231338	8464.0	4583	4749	98.884	9598
163	AC010336.1	4739	XM_005208732	3923	2431.0	1316	2224	86.511	9913
164	AC010336.1	4739	JN948140	39578	2021.0	1094	2127	83.921	10090
165	LINC01204	2900	NR_104644	2924	5356.0	2900	2900	100.0	9606
166	LINC01204	2900	XR_001713986	2918	5216.0	2824	2899	99.172	9598
167	AC118757.1	609	XR_935379	658	1055.0	571	575	99.826	9606
168	AL031733.2	2523	AK123984	2523	4649.0	2517	2523	99.921	9606
169	AL031733.2	2523	BS000231	172617	335.0	181	274	89.051	9598
170	AC005736.1	1394	NR_120311	1394	2575.0	1394	1394	100.0	9606
171	AC005736.1	1394	XR_674813	1299	553.0	299	312	98.718	9598
172	AP000477.1	847	CP068257	45827691	1421.0	769	769	100.0	9606
173	AP000477.1	847	BS000092	155948	1323.0	716	768	97.786	9598
174	AC020907.3	565	AC020907	169891	684.0	370	370	100.0	9606
175	AC020907.3	565	AC192150	213011	597.0	323	370	96.216	9598
176	FLJ40194	2317	AK097513	2317	4263.0	2308	2317	99.871	9606
177	FLJ40194	2317	AC193771	164808	1757.0	951	1043	97.124	9598
178	AL356859.1	414	AL356859	29963	396.0	214	214	100.0	9606
179	AL356859.1	414	AC200278	190423	124.0	67	76	96.053	9598
180	AC243964.2	829	XR_001753953	918	1136.0	615	615	100.0	9606
181	AC243964.2	829	AC196449	221048	553.0	299	428	90.187	9598
182	AC015911.9	185	AC159111	158441	303.0	164	185	96.216	9598
183	AC015911.9	185	AP023477	80688777	292.0	158	185	95.135	9606
184	AC103808.6	464	AP023478	77846715	603.0	326	326	100.0	9606
185	AC087521.3	1308	AC087521	188967	1866.0	1010	1010	100.0	9606
186	AC087521.3	1308	XM_016920711	1690	1816.0	983	1010	99.109	9598
187	AC087521.3	1308	AL772372	210503	983.0	532	865	87.861	10090
188	AC087521.3	1308	NM_001145035	1398	926.0	501	696	90.948	9913
189	AC087521.3	1308	MK139010	1033	381.0	206	366	85.792	9031
190	AC087521.3	1308	XM_002937301	2081	206.0	111	376	77.128	8364
191	AC110615.1	1955	AC110615	195101	3611.0	1955	1955	100.0	9606
192	AC110615.1	1955	AC192114	195972	387.0	209	293	90.785	9598
193	PSMD6-AS1	441	AL832109	4609	671.0	363	363	100.0	9606
194	PSMD6-AS1	441	AC192795	207156	424.0	229	311	91.318	9598
195	LINC01443	1982	CP068260	80542536	3448.0	1867	1867	100.0	9606
196	LINC01443	1982	AC161018	153379	392.0	212	294	90.816	9598
197	LINC02280	3816	NR_135293	3816	7047.0	3816	3816	100.0	9606
198	LINC02280	3816	AC193895	208484	1570.0	850	972	96.091	9598
199	AC120042.1	550	AC279463	166538	970.0	525	528	99.811	9606
200	AC120042.1	550	AC198801	212529	399.0	216	298	90.94	9598
201	AC100861.1	1970	NR_033928	1970	3639.0	1970	1970	100.0	9606
202	AC100861.1	1970	AC189690	184953	412.0	223	305	91.148	9598
203	AC010519.1	344	CP068259	61707359	364.0	197	238	94.538	9606
204	AC010519.1	344	AC193905	190327	318.0	172	227	92.511	9598
205	AC066612.1	572	XR_002957767	4865	1057.0	572	572	100.0	9606
206	AC066612.1	572	XR_001709930	312	185.0	100	100	100.0	9598
207	AP001626.1	2854	BC033260	2857	5177.0	2803	2855	99.405	9606
208	AP001626.1	2854	BS000229	179285	3419.0	1851	1961	98.164	9598
209	BX255923.2	2874	NR_147037	4387	5308.0	2874	2874	100.0	9606
210	BX255923.2	2874	AC200712	188781	2641.0	1430	1543	97.732	9598
211	AC011466.3	852	NG_007395	61858	1254.0	679	679	100.0	9606
212	AC011466.3	852	XM_016936378	3376	163.0	88	91	98.901	9598
213	AC011466.3	852	XM_010814980	3142	119.0	64	91	90.11	9913
214	AC079354.1	3093	BC040292	3112	5646.0	3057	3099	99.581	9606
215	AC079354.1	3093	XR_001716400	3031	3406.0	1844	1941	98.454	9598
216	AC079354.1	3093	AC132574	173036	429.0	232	458	83.843	10090
217	PANDAR	1506	NR_109836	1506	2782.0	1506	1506	100.0	9606
218	PANDAR	1506	XR_002944145	1584	2362.0	1279	1370	97.81	9598
219	PANDAR	1506	NM_174098	2020	1426.0	772	1332	86.186	9913
220	PANDAR	1506	AK011604	2136	1317.0	713	1380	84.13	10090
221	ZBTB20-AS4	675	NR_046877	675	1247.0	675	675	100.0	9606
222	ZBTB20-AS4	675	AC146189	180597	366.0	198	330	87.273	9598
223	AC010328.3	553	NR_003578	3015	412.0	223	223	100.0	9606
224	AC010328.3	553	XR_001711522	3535	401.0	217	223	99.103	9598
225	AC006305.1	2558	NR_148972	2558	4724.0	2558	2558	100.0	9606
226	AC006305.1	2558	CU019564	248103	353.0	191	286	89.161	9598
227	Z69720.1	472	NG_042799	65247	872.0	472	472	100.0	9606
228	Z69720.1	472	AC148307	199161	833.0	451	472	98.517	9598
229	AC004941.1	3120	XR_242213	3120	5762.0	3120	3120	100.0	9606
230	AC004941.1	3120	XR_681672	4075	5435.0	2943	3150	97.968	9598
231	AL591503.1	477	AL591503	152659	601.0	325	483	89.441	9606
232	AL591503.1	477	AC195663	211082	392.0	212	286	91.608	9598
233	AL132996.1	1431	AL132996	99025	1271.0	688	688	100.0	9606
234	AL132996.1	1431	XR_001718587	539	822.0	445	454	99.339	9598
235	AL132996.1	1431	AL732547	206741	405.0	219	259	94.981	10090
236	AC020663.2	720	BC128383	719	1279.0	692	720	98.889	9606
237	AC020663.2	720	XM_009430234	559	329.0	178	187	98.396	9598
238	AL135999.2	1686	AK124469	1686	3114.0	1686	1686	100.0	9606
239	AL135999.2	1686	XM_016925893	9589	440.0	238	244	99.18	9598
240	AL135999.2	1686	AC157212	217099	388.0	210	307	89.902	10090
241	LINC02584	1004	NR_103835	804	1441.0	780	780	100.0	9606
242	LINC02584	1004	XR_002938580	107	126.0	68	71	98.592	9598
243	LINC02584	1004	AC161480	187202	121.0	65	71	97.183	10090
244	LINC02584	1004	XR_003032097	107	119.0	64	70	97.143	9913
245	AL357055.3	2459	NR_103777	2456	4536.0	2456	2456	100.0	9606
246	AL357055.3	2459	AC191753	181088	407.0	220	401	85.287	9598
247	AC087457.1	2727	NR_120329	2727	5036.0	2727	2727	100.0	9606
248	AC087457.1	2727	AC161472	189756	331.0	179	250	90.8	9598
249	AP001267.2	2086	NG_027813	97335	3853.0	2086	2086	100.0	9606
250	AP001267.2	2086	AC279117	204597	453.0	245	282	95.745	9598
251	AC025580.1	729	XR_001751510	885	1048.0	567	567	100.0	9606
252	AC025580.1	729	AL954216	166547	460.0	249	298	94.631	9598
253	LINC01772	3245	NR_147210	3245	5993.0	3245	3245	100.0	9606
254	LINC01772	3245	AC193815	170586	1072.0	580	920	88.043	9598
255	AL513321.2	921	AL513321	180976	1168.0	632	635	99.843	9606
256	AL513321.2	921	AC142344	176197	220.0	119	149	93.289	9598
257	AL133551.1	1222	AL133551	175940	2257.0	1222	1222	100.0	9606
258	AL133551.1	1222	AC191768	158711	2100.0	1137	1205	98.174	9598
259	AL353759.1	1578	AL353759	101099	1419.0	768	768	100.0	9606
260	AL353759.1	1578	AC163768	230015	418.0	226	312	91.026	9598
261	AC097059.1	885	XR_001738152	842	1552.0	840	840	100.0	9606
262	AC097059.1	885	XR_001707747	438	682.0	369	396	97.727	9598
263	AC098820.3	976	AH009305	69501	1676.0	907	907	100.0	9606
264	AC098820.3	976	AB124586	173042	309.0	167	216	92.593	9598
265	AL356481.1	970	XR_002938030	744	1290.0	698	745	97.987	9598
266	AL356481.1	970	NG_012073	44610	1227.0	664	664	100.0	9606
267	MAFG-DT	1895	NR_015454	1914	3500.0	1895	1895	100.0	9606
268	MAFG-DT	1895	XR_675554	1766	2141.0	1159	1232	98.133	9598
269	AC092675.1	588	AC092675	153551	848.0	459	463	99.784	9606
270	AC007036.2	437	AC007036	167700	616.0	333	333	100.0	9606
271	AC007036.2	437	AC190174	192481	577.0	312	333	97.898	9598
272	AC124254.1	562	AP023478	77846715	754.0	408	408	100.0	9606
273	AC124254.1	562	AC146385	162268	606.0	328	380	95.526	9598
274	AC092316.1	297	NG_052844	63658	409.0	221	225	99.556	9606
275	AC092316.1	297	CT025633	205943	143.0	77	149	84.564	9598
276	AC026401.2	503	AC243629	232622	750.0	406	406	100.0	9606
277	AC026401.2	503	AC183107	194054	257.0	139	223	87.444	9598
278	LINC00951	554	NR_038887	3122	1022.0	553	553	100.0	9606
279	LINC00951	554	XR_002944229	1084	996.0	539	554	99.097	9598
280	AC002463.1	1188	NR_110158	1186	2174.0	1177	1177	100.0	9606
281	AC002463.1	1188	AC146244	161963	414.0	224	242	97.521	9598
282	AC002463.1	1188	AC139884	227769	370.0	200	336	86.905	10090
283	AC092067.1	488	CP068259	61707359	610.0	330	333	99.7	9606
284	AC092067.1	488	AC192567	210680	239.0	129	163	93.252	9598
285	AC009803.1	544	AC009803	186044	375.0	203	203	100.0	9606
286	AC009803.1	544	XR_001708312	795	309.0	167	173	98.844	9598
287	LINC00559	3867	NR_047489	3875	7138.0	3865	3865	100.0	9606
288	LINC00559	3867	XR_673880	3863	6637.0	3594	3880	97.68	9598
289	LINC02418	4592	AK127723	4554	7744.0	4193	4269	99.414	9606
290	LINC02418	4592	AC194546	203247	405.0	219	320	89.688	9598
291	AC025430.1	498	AC025430	87349	501.0	271	271	100.0	9606
292	AC025430.1	498	AC183543	195721	278.0	150	234	88.462	9598
293	AC004988.1	1771	XR_242166	3021	3271.0	1771	1771	100.0	9606
294	AC004988.1	1771	AC146273	190721	2732.0	1479	1560	98.333	9598
295	AP000640.1	1705	NG_047082	57824	2340.0	1267	1267	100.0	9606
296	AP000640.1	1705	AC156581	188418	326.0	176	306	86.275	9598
297	AC013460.1	2253	AK093290	2220	3969.0	2149	2247	98.754	9606
298	RARA-AS1	1790	NR_110861	1790	3306.0	1790	1790	100.0	9606
299	RARA-AS1	1790	XM_016931851	6472	1519.0	822	837	99.403	9598
300	RARA-AS1	1790	JN951341	37985	204.0	110	140	92.857	10090
301	AC027088.2	916	AP023475	95537968	728.0	394	400	99.5	9606
302	AC027088.2	916	XR_001710037	3722	632.0	342	351	99.145	9598
303	LINC01054	514	XR_001708913	1406	896.0	485	519	98.073	9598
304	LINC01054	514	NR_126391	316	584.0	316	316	100.0	9606
305	AC002401.3	440	CP068261	84277185	813.0	440	440	100.0	9606
306	AC093821.1	539	AC093821	125151	457.0	247	247	100.0	9606
307	AC093821.1	539	XR_679797	2015	420.0	227	239	98.326	9598
308	AL022323.4	13120	AL022323	183113	24229.0	13120	13120	100.0	9606
309	AL022323.4	13120	AC195292	187711	387.0	209	398	84.925	9598
310	AC006487.1	1221	NR_103773	1221	2255.0	1221	1221	100.0	9606
311	AC006487.1	1221	AC182582	206366	1517.0	821	848	98.939	9598
312	AC006487.1	1221	BC142255	3353	298.0	161	206	92.718	9913
313	AC006487.1	1221	JN963183	37250	237.0	128	209	87.081	10090
314	AC006487.1	1221	NM_001146133	1360	172.0	93	204	81.863	9031
315	AC108751.4	1001	AC108751	131894	1528.0	827	827	100.0	9606
316	AC108751.4	1001	AC192162	229196	180.0	97	141	90.071	9598
317	LINC01259	757	NR_149076	757	1399.0	757	757	100.0	9606
318	LINC01259	757	XR_002943517	749	1325.0	717	752	98.537	9598
319	AC107398.3	7000	AC107398	136836	12116.0	6561	6561	100.0	9606
320	AC107398.3	7000	AL954221	169077	315.0	170	304	85.526	9598
321	LINC00562	2470	NR_047492	2470	4562.0	2470	2470	100.0	9606
322	LINC00562	2470	AC188562	222220	472.0	255	306	94.444	9598
323	EHD4-AS1	771	NR_120332	1191	1424.0	771	771	100.0	9606
324	EHD4-AS1	771	AC185344	190596	590.0	319	328	99.085	9598
325	LINC02055	4441	AC023781	147607	6595.0	3571	3571	100.0	9606
326	LINC02055	4441	XR_001720447	3965	582.0	315	346	97.11	9598
327	AC097468.2	553	AC097468	169741	942.0	510	510	100.0	9606
328	AC097468.2	553	AC192860	163118	163.0	88	130	89.231	9598
329	LINC01635	1023	NR_110692	728	1107.0	599	599	100.0	9606
330	LINC01635	1023	AC192213	173248	773.0	418	451	97.561	9598
331	AL133245.1	1365	AL133245	138041	2521.0	1365	1365	100.0	9606
332	AL133245.1	1365	AC193031	243934	457.0	247	308	93.506	9598
333	LIF-AS1	808	NR_149070	808	1493.0	808	808	100.0	9606
334	LIF-AS1	808	XR_002941174	1080	1448.0	784	809	99.011	9598
335	AC048344.1	407	AC048344	124427	327.0	177	177	100.0	9606
336	AC048344.1	407	XM_016923681	9013	254.0	137	137	100.0	9598
337	AC048344.1	407	XM_005206892	8886	204.0	110	137	93.431	9913
338	AC079075.1	449	XM_011521798	3749	765.0	414	463	96.976	9606
339	AC055855.1	500	NG_050688	47643	545.0	295	295	100.0	9606
340	AC055855.1	500	AC151667	200796	231.0	125	162	92.593	9598
341	MIR7-3HG	879	AB058893	865	1592.0	862	865	99.884	9606
342	MIR7-3HG	879	XM_024351804	1011	651.0	352	370	98.378	9598
343	AL953897.1	1868	NR_126000	1868	3450.0	1868	1868	100.0	9606
344	AL953897.1	1868	AC145888	163342	351.0	190	290	88.621	9598
345	AC087501.2	513	NG_047110	332488	826.0	447	489	97.137	9606
346	AC087501.2	513	AC192850	187557	381.0	206	281	91.103	9598
347	AL031587.3	814	CP068256	51353906	1504.0	814	814	100.0	9606
348	AL031587.3	814	AC146106	221821	396.0	214	259	94.208	9598
349	AC090993.1	582	AF230637	90636	289.0	156	156	100.0	9606
350	AC090993.1	582	AC146077	188174	89.8	48	64	92.188	9598
351	AC096558.1	574	AC096558	169453	861.0	466	466	100.0	9606
352	LINC01055	1721	XR_002939160	2343	2603.0	1409	1428	99.58	9598
353	LINC01055	1721	AL139320	112107	2425.0	1313	1313	100.0	9606
354	AC134775.1	464	AC068457	172516	490.0	265	265	100.0	9606
355	AC134775.1	464	AC193027	160177	298.0	161	203	93.103	9598
356	AC004233.1	608	AC004643	43411	682.0	369	369	100.0	9606
357	AC004233.1	608	AC196449	221048	665.0	360	369	99.187	9598
358	AC007496.2	547	CP068262	96330493	654.0	354	434	94.009	9606
359	AC007496.2	547	AC220945	153789	353.0	191	279	89.606	9598
360	AL138749.1	791	AL138749	186246	1122.0	607	613	99.674	9606
361	AL138749.1	791	AC192465	185879	178.0	96	123	92.683	9598
362	AC020917.3	721	AC020917	151088	1332.0	721	721	100.0	9606
363	AC020917.3	721	AC193262	175422	704.0	381	610	87.705	9598
364	AL160408.6	1257	AC270615	219007	1201.0	650	650	100.0	9606
365	AC034195.1	728	AC026188	177721	617.0	334	334	100.0	9606
366	AC226119.1	682	NG_025077	2843	368.0	199	199	100.0	9606
367	AC226119.1	682	XM_009423224	2263	327.0	177	201	96.02	9598
368	AC226119.1	682	NM_001316760	2362	255.0	138	201	89.552	10090
369	IGBP1-AS2	513	NG_012084	39857	754.0	408	418	99.282	9606
370	IGBP1-AS2	513	XR_001711881	2079	191.0	103	143	90.909	9598
371	LINC02551	2203	XM_003952073	3423	3716.0	2012	2111	98.532	9598
372	LINC02551	2203	NR_125383	1468	2684.0	1453	1453	100.0	9606
373	AC007879.4	361	AC007879	158841	569.0	308	308	100.0	9606
374	AC007879.4	361	XR_678614	302	104.0	56	56	100.0	9598
375	AC145285.2	1963	AK125489	1930	3565.0	1930	1930	100.0	9606
376	AC145285.2	1963	AC270815	186505	2928.0	1585	1706	97.773	9598
377	AC027237.2	391	AP023475	95537968	555.0	300	300	100.0	9606
378	AC027237.2	391	AC148825	181673	156.0	84	137	88.321	9598
379	PLA2G4E-AS1	2499	NR_120334	2499	4615.0	2499	2499	100.0	9606
380	PLA2G4E-AS1	2499	AC213003	192993	3535.0	1914	1948	99.435	9598
381	AC020743.1	767	AC020743	182528	1081.0	585	585	100.0	9606
382	AC020743.1	767	AC191680	190064	712.0	385	398	98.995	9598
383	LINC02104	599	NR_104632	615	1107.0	599	599	100.0	9606
384	LINC02104	599	AC191368	205110	95.3	51	64	93.75	9598
